employee_name,user_id,Domain,Email,Role
Priscilla I Dominguez,PID0096,ACME.com,Priscilla.I.Dominguez@ACME.com,Technician
Paki C Snow,PCS0097,ACME.com,Paki.C.Snow@ACME.com,Engineer
Brett L Spencer,BLS0098,ACME.com,Brett.L.Spencer@ACME.com,Project Manager
Lars P Gillespie,LPG0099,ACME.com,Lars.P.Gillespie@ACME.com,Security
Alexander R Blackburn,ARB0100,ACME.com,Alexander.R.Blackburn@ACME.com,Administrative Staff
Aspen M Holcomb,AMH0101,ACME.com,Aspen.M.Holcomb@ACME.com,Tradesman
Teagan P Camacho,TPC0102,ACME.com,Teagan.P.Camacho@ACME.com,Administrative Staff
Adam H Velez,AHV0103,ACME.com,Adam.H.Velez@ACME.com,Security
Carl B Rodriguez,CBR0104,ACME.com,Carl.B.Rodriguez@ACME.com,Foreman
Germaine M Lyons,GML0105,ACME.com,Germaine.M.Lyons@ACME.com,Technician
Ulysses C Miles,UCM0106,ACME.com,Ulysses.C.Miles@ACME.com,Technician
Kirk C Nielsen,KCN0107,ACME.com,Kirk.C.Nielsen@ACME.com,Administrative Assistant
Shad B Klein,SBK0108,ACME.com,Shad.B.Klein@ACME.com,Administrative Assistant
Barclay C Villarreal,BCV0109,ACME.com,Barclay.C.Villarreal@ACME.com,Loading Dock
Catherine D Salas,CDS0110,ACME.com,Catherine.D.Salas@ACME.com,Technician
Mason Z Waller,MZW0111,ACME.com,Mason.Z.Waller@ACME.com,Security
Dale S Shepherd,DSS0112,ACME.com,Dale.S.Shepherd@ACME.com,Foreman
Quin A Morton,QAM0113,ACME.com,Quin.A.Morton@ACME.com,Administrative Staff
Eden F Stout,EFS0114,ACME.com,Eden.F.Stout@ACME.com,Janitor
Florence C Guerra,FCG0115,ACME.com,Florence.C.Guerra@ACME.com,Administrative Staff
Brendan K Morgan,BKM0116,ACME.com,Brendan.K.Morgan@ACME.com,Engineer
Raymond D Hansen,RDH0117,ACME.com,Raymond.D.Hansen@ACME.com,Administrative Staff
Stephanie G Cannon,SGC0118,ACME.com,Stephanie.G.Cannon@ACME.com,Administrative Staff
Finn G Mcclure,FGM0119,ACME.com,Finn.G.Mcclure@ACME.com,Project Manager
Benjamin Z Hubbard,BZH0120,ACME.com,Benjamin.Z.Hubbard@ACME.com,Engineer
Carlos O Shannon,COS0121,ACME.com,Carlos.O.Shannon@ACME.com,Project Manager
Angelica F Greer,AFG0122,ACME.com,Angelica.F.Greer@ACME.com,Administrative Staff
Daquan A Waller,DAW0123,ACME.com,Daquan.A.Waller@ACME.com,Foreman
Phelan V Heath,PVH0124,ACME.com,Phelan.V.Heath@ACME.com,Foreman
Constance G Hobbs,CGH0125,ACME.com,Constance.G.Hobbs@ACME.com,Administrative Staff
Darrel R Oconnor,DRO0126,ACME.com,Darrel.R.Oconnor@ACME.com,Administrative Staff
Victor N Morrow,VNM0127,ACME.com,Victor.N.Morrow@ACME.com,Engineer
Dante W Fernandez,DWF0128,ACME.com,Dante.W.Fernandez@ACME.com,Of Council
Yuli J Johnson,YJJ0129,ACME.com,Yuli.J.Johnson@ACME.com,Project Manager
Tatiana S Miranda,TSM0130,ACME.com,Tatiana.S.Miranda@ACME.com,Technician
Ishmael T Craig,ITC0131,ACME.com,Ishmael.T.Craig@ACME.com,Senior Manger
Ariel S Cardenas,ASC0132,ACME.com,Ariel.S.Cardenas@ACME.com,Tradesman
Chantale V Williams,CVW0133,ACME.com,Chantale.V.Williams@ACME.com,Engineer
Ebony E Bird,EEB0134,ACME.com,Ebony.E.Bird@ACME.com,Administrative Staff
Mona Q Lynch,MQL0135,ACME.com,Mona.Q.Lynch@ACME.com,Administrative Staff
Melodie P Avery,MPA0136,ACME.com,Melodie.P.Avery@ACME.com,Technician
Elizabeth D West,EDW0137,ACME.com,Elizabeth.D.West@ACME.com,Technician
Fatima J Clarke,FJC0138,ACME.com,Fatima.J.Clarke@ACME.com,Administrative Staff
Scarlet M Calhoun,SMC0139,ACME.com,Scarlet.M.Calhoun@ACME.com,Technician
Jessamine C Carlson,JCC0140,ACME.com,Jessamine.C.Carlson@ACME.com,Engineer
Lionel P Byrd,LPB0141,ACME.com,Lionel.P.Byrd@ACME.com,Administrative Assistant
Ulla M Koch,UMK0142,ACME.com,Ulla.M.Koch@ACME.com,Administrative Staff
Deborah N Morse,DNM0143,ACME.com,Deborah.N.Morse@ACME.com,Engineer
Stacey S Hansen,SSH0144,ACME.com,Stacey.S.Hansen@ACME.com,Technician
Shelby T Fry,STF0145,ACME.com,Shelby.T.Fry@ACME.com,Tradesman
Emmanuel D Harper,EDH0146,ACME.com,Emmanuel.D.Harper@ACME.com,Loading Dock
Adara H Delgado,AHD0147,ACME.com,Adara.H.Delgado@ACME.com,Tradesman
Hannah W Golden,HWG0148,ACME.com,Hannah.W.Golden@ACME.com,VP
Bell Q Weaver,BQW0149,ACME.com,Bell.Q.Weaver@ACME.com,Engineer
Lance T Butler,LTB0150,ACME.com,Lance.T.Butler@ACME.com,Security
Sopoline S Bartlett,SSB0151,ACME.com,Sopoline.S.Bartlett@ACME.com,Administrative Staff
Ima A Glenn,IAG0152,ACME.com,Ima.A.Glenn@ACME.com,Administrative Staff
Wyoming J Gill,WJG0153,ACME.com,Wyoming.J.Gill@ACME.com,Technician
Farrah U Aguilar,FUA0154,ACME.com,Farrah.U.Aguilar@ACME.com,Administrative Staff
August L Lancaster,ALL0155,ACME.com,August.L.Lancaster@ACME.com,Engineer
Burke K Head,BKH0156,ACME.com,Burke.K.Head@ACME.com,Senior Manger
Priscilla R Barnes,PRB0157,ACME.com,Priscilla.R.Barnes@ACME.com,Tradesman
Kaitlin P Collier,KPC0158,ACME.com,Kaitlin.P.Collier@ACME.com,Senior Manger
Jeanette Z Vargas,JZV0159,ACME.com,Jeanette.Z.Vargas@ACME.com,Administrative Staff
Orlando K Greer,OKG0160,ACME.com,Orlando.K.Greer@ACME.com,Senior Manger
Nash A Clemons,NAC0161,ACME.com,Nash.A.Clemons@ACME.com,Administrative Assistant
Daryl J Conner,DJC0162,ACME.com,Daryl.J.Conner@ACME.com,Technician
Cain Z Ballard,CZB0163,ACME.com,Cain.Z.Ballard@ACME.com,Security
Quail Z Daniel,QZD0164,ACME.com,Quail.Z.Daniel@ACME.com,Tradesman
Ursula A Drake,UAD0165,ACME.com,Ursula.A.Drake@ACME.com,Administrative Staff
Miriam B Reid,MBR0166,ACME.com,Miriam.B.Reid@ACME.com,Administrative Staff
Shannon A Owen,SAO0167,ACME.com,Shannon.A.Owen@ACME.com,Tradesman
Veda A Pollard,VAP0168,ACME.com,Veda.A.Pollard@ACME.com,Tradesman
Wendy L Ball,WLB0169,ACME.com,Wendy.L.Ball@ACME.com,Tradesman
Lara A Langley,LAL0170,ACME.com,Lara.A.Langley@ACME.com,Tradesman
Hyatt C Jones,HCJ0171,ACME.com,Hyatt.C.Jones@ACME.com,Technician
Axel N Stout,ANS0172,ACME.com,Axel.N.Stout@ACME.com,Engineer
Albert K Pruitt,AKP0173,ACME.com,Albert.K.Pruitt@ACME.com,Security
Christen H Atkins,CHA0174,ACME.com,Christen.H.Atkins@ACME.com,Administrative Staff
Silas V Cook,SVC0175,ACME.com,Silas.V.Cook@ACME.com,Engineer
Imani R Holmes,IRH0176,ACME.com,Imani.R.Holmes@ACME.com,Tradesman
Octavius N Ballard,ONB0177,ACME.com,Octavius.N.Ballard@ACME.com,Foreman
Uriah L Browning,ULB0178,ACME.com,Uriah.L.Browning@ACME.com,VP
Aladdin B Garner,ABG0179,ACME.com,Aladdin.B.Garner@ACME.com,Technician
Juliet S Warner,JSW0180,ACME.com,Juliet.S.Warner@ACME.com,Administrative Staff
Leroy K York,LKY0181,ACME.com,Leroy.K.York@ACME.com,Engineer
Aidan G Wallace,AGW0182,ACME.com,Aidan.G.Wallace@ACME.com,Administrative Assistant
Cole G Thomas,CGT0183,ACME.com,Cole.G.Thomas@ACME.com,Engineer
Germaine D Good,GDG0184,ACME.com,Germaine.D.Good@ACME.com,Technician
Elaine C Beck,ECB0185,ACME.com,Elaine.C.Beck@ACME.com,Technician
Unity B Bryant,UBB0186,ACME.com,Unity.B.Bryant@ACME.com,Tradesman
Juliet I Pearson,JIP0187,ACME.com,Juliet.I.Pearson@ACME.com,Technician
Kieran B Porter,KBP0188,ACME.com,Kieran.B.Porter@ACME.com,Administrative Assistant
Colton S Rodriguez,CSR0189,ACME.com,Colton.S.Rodriguez@ACME.com,Foreman
Ronan K Chen,RKC0190,ACME.com,Ronan.K.Chen@ACME.com,Engineer
Alfonso M Atkinson,AMA0191,ACME.com,Alfonso.M.Atkinson@ACME.com,Security
Shea A Hodge,SAH0192,ACME.com,Shea.A.Hodge@ACME.com,Engineer
Chadwick D Evans,CDE0193,ACME.com,Chadwick.D.Evans@ACME.com,Foreman
Patience I Golden,PIG0194,ACME.com,Patience.I.Golden@ACME.com,Tradesman
Tate I Wooten,TIW0195,ACME.com,Tate.I.Wooten@ACME.com,Administrative Assistant
Eden M Zimmerman,EMZ0196,ACME.com,Eden.M.Zimmerman@ACME.com,Tradesman
Fleur M Fox,FMF0197,ACME.com,Fleur.M.Fox@ACME.com,Tradesman
Whoopi D Wilkinson,WDW0198,ACME.com,Whoopi.D.Wilkinson@ACME.com,Administrative Staff
Destiny A Wilder,DAW0199,ACME.com,Destiny.A.Wilder@ACME.com,Technician
Joseph M Poole,JMP0200,ACME.com,Joseph.M.Poole@ACME.com,Administrative Assistant
Amena L Navarro,ALN0201,ACME.com,Amena.L.Navarro@ACME.com,Administrative Staff
Camden G Roberts,CGR0202,ACME.com,Camden.G.Roberts@ACME.com,Administrative Assistant
Adrian J Cochran,AJC0203,ACME.com,Adrian.J.Cochran@ACME.com,Senior Manger
Robert X Mckenzie,RXM0204,ACME.com,Robert.X.Mckenzie@ACME.com,Security
Mary R Molina,MRM0205,ACME.com,Mary.R.Molina@ACME.com,Technician
Meredith Z Benson,MZB0206,ACME.com,Meredith.Z.Benson@ACME.com,Technician
Ria X Ellison,RXE0207,ACME.com,Ria.X.Ellison@ACME.com,Tradesman
Connor B Robles,CBR0208,ACME.com,Connor.B.Robles@ACME.com,Foreman
Perry M Leonard,PML0209,ACME.com,Perry.M.Leonard@ACME.com,VP
Rashad W Daniels,RWD0210,ACME.com,Rashad.W.Daniels@ACME.com,Security
Tyler K Hutchinson,TKH0211,ACME.com,Tyler.K.Hutchinson@ACME.com,Engineer
Morgan J Kramer,MJK0212,ACME.com,Morgan.J.Kramer@ACME.com,Tradesman
Dale X Meyer,DXM0213,ACME.com,Dale.X.Meyer@ACME.com,Security
Erich C Maynard,ECM0214,ACME.com,Erich.C.Maynard@ACME.com,Technician
Olivia H Woodard,OHW0215,ACME.com,Olivia.H.Woodard@ACME.com,Technician
Taylor F Shannon,TFS0216,ACME.com,Taylor.F.Shannon@ACME.com,Technician
Stone B Melton,SBM0217,ACME.com,Stone.B.Melton@ACME.com,Senior Manger
Tana C Richards,TCR0218,ACME.com,Tana.C.Richards@ACME.com,Administrative Staff
Alec D Roy,ADR0219,ACME.com,Alec.D.Roy@ACME.com,Security
Aurora J Avila,AJA0220,ACME.com,Aurora.J.Avila@ACME.com,Engineer
Driscoll A Watson,DAW0221,ACME.com,Driscoll.A.Watson@ACME.com,Project Manager
Quinn G Mayer,QGM0222,ACME.com,Quinn.G.Mayer@ACME.com,Janitor
Uriel G Warren,UGW0223,ACME.com,Uriel.G.Warren@ACME.com,Engineer
Hoyt O Olsen,HOO0224,ACME.com,Hoyt.O.Olsen@ACME.com,Technician
Kathleen F Finley,KFF0225,ACME.com,Kathleen.F.Finley@ACME.com,Technician
Montana S Mccullough,MSM0226,ACME.com,Montana.S.Mccullough@ACME.com,Administrative Staff
Xavier H Nash,XHN0227,ACME.com,Xavier.H.Nash@ACME.com,Technician
Moses J Miller,MJM0228,ACME.com,Moses.J.Miller@ACME.com,Foreman
Raymond B Bass,RBB0229,ACME.com,Raymond.B.Bass@ACME.com,Engineer
Tatyana C Hewitt,TCH0230,ACME.com,Tatyana.C.Hewitt@ACME.com,Technician
Vera F Sharp,VFS0231,ACME.com,Vera.F.Sharp@ACME.com,Technician
Lucy Q Aguirre,LQA0232,ACME.com,Lucy.Q.Aguirre@ACME.com,Tradesman
Jonathan M Castillo,JMC0233,ACME.com,Jonathan.M.Castillo@ACME.com,Engineer
Mark K Nixon,MKN0234,ACME.com,Mark.K.Nixon@ACME.com,Foreman
Drake B Booth,DBB0235,ACME.com,Drake.B.Booth@ACME.com,Foreman
Bradley G Frost,BGF0236,ACME.com,Bradley.G.Frost@ACME.com,Tradesman
Rogan E Riggs,RER0237,ACME.com,Rogan.E.Riggs@ACME.com,Project Manager
Morgan L Crawford,MLC0238,ACME.com,Morgan.L.Crawford@ACME.com,Technician
Maia T Madden,MTM0239,ACME.com,Maia.T.Madden@ACME.com,Engineer
Dalton G Mejia,DGM0240,ACME.com,Dalton.G.Mejia@ACME.com,Director
Jason H Nielsen,JHN0241,ACME.com,Jason.H.Nielsen@ACME.com,Senior Manger
Emily M Rollins,EMR0242,ACME.com,Emily.M.Rollins@ACME.com,Tradesman
Glenna T Jenkins,GTJ0243,ACME.com,Glenna.T.Jenkins@ACME.com,Tradesman
Alana L Cruz,ALC0244,ACME.com,Alana.L.Cruz@ACME.com,Tradesman
Rashad R Fitzgerald,RRF0245,ACME.com,Rashad.R.Fitzgerald@ACME.com,Foreman
Nichole C Wall,NCW0246,ACME.com,Nichole.C.Wall@ACME.com,Senior Manger
Brianna M Marshall,BMM0247,ACME.com,Brianna.M.Marshall@ACME.com,Engineer
Ginger Y Bernard,GYB0248,ACME.com,Ginger.Y.Bernard@ACME.com,Tradesman
Thor Q Castaneda,TQC0249,ACME.com,Thor.Q.Castaneda@ACME.com,Foreman
Alma L Weber,ALW0250,ACME.com,Alma.L.Weber@ACME.com,Administrative Staff
Noel M Cook,NMC0251,ACME.com,Noel.M.Cook@ACME.com,Tradesman
Nicole A Tran,NAT0252,ACME.com,Nicole.A.Tran@ACME.com,Technician
Nina H Larsen,NHL0253,ACME.com,Nina.H.Larsen@ACME.com,Administrative Staff
Elaine R Potts,ERP0254,ACME.com,Elaine.R.Potts@ACME.com,Tradesman
Robin K Duffy,RKD0255,ACME.com,Robin.K.Duffy@ACME.com,Administrative Staff
Omar T Strickland,OTS0256,ACME.com,Omar.T.Strickland@ACME.com,Security
Renee O Curtis,ROC0257,ACME.com,Renee.O.Curtis@ACME.com,Tradesman
Hadassah C Carroll,HCC0258,ACME.com,Hadassah.C.Carroll@ACME.com,Administrative Staff
Isadora H Delacruz,IHD0259,ACME.com,Isadora.H.Delacruz@ACME.com,Administrative Staff
Hope K Mueller,HKM0260,ACME.com,Hope.K.Mueller@ACME.com,Technician
Hanae D Rivas,HDR0261,ACME.com,Hanae.D.Rivas@ACME.com,Technician
Vernon A Humphrey,VAH0262,ACME.com,Vernon.A.Humphrey@ACME.com,VP
Salvador K Barnett,SKB0263,ACME.com,Salvador.K.Barnett@ACME.com,Administrative Assistant
Imelda A Church,IAC0264,ACME.com,Imelda.A.Church@ACME.com,Tradesman
Howard T Sykes,HTS0265,ACME.com,Howard.T.Sykes@ACME.com,Administrative Staff
Alana J Curry,AJC0266,ACME.com,Alana.J.Curry@ACME.com,Tradesman
Nora J Dunn,NJD0267,ACME.com,Nora.J.Dunn@ACME.com,Director
Yen S Hess,YSH0268,ACME.com,Yen.S.Hess@ACME.com,Technician
Ashely R Fox,ARF0269,ACME.com,Ashely.R.Fox@ACME.com,Technician
Stephanie K Patel,SKP0270,ACME.com,Stephanie.K.Patel@ACME.com,Engineer
Mara X Middleton,MXM0271,ACME.com,Mara.X.Middleton@ACME.com,Technician
Arsenio B Baldwin,ABB0272,ACME.com,Arsenio.B.Baldwin@ACME.com,Loading Dock
Michael K Glover,MKG0273,ACME.com,Michael.K.Glover@ACME.com,Security
Jesse G Sims,JGS0274,ACME.com,Jesse.G.Sims@ACME.com,Foreman
Sacha R Nolan,SRN0275,ACME.com,Sacha.R.Nolan@ACME.com,Technician
Nicolas R Hammond,NRH0276,ACME.com,Nicolas.R.Hammond@ACME.com,Engineer
Garrison V Hart,GVH0277,ACME.com,Garrison.V.Hart@ACME.com,Janitor
Jeremy J Ramos,JJR0278,ACME.com,Jeremy.J.Ramos@ACME.com,Engineer
Germane Y Todd,GYT0279,ACME.com,Germane.Y.Todd@ACME.com,Technician
Ignatius M Dyer,IMD0280,ACME.com,Ignatius.M.Dyer@ACME.com,Administrative Assistant
Orli S Hebert,OSH0281,ACME.com,Orli.S.Hebert@ACME.com,Engineer
Randall A Campbell,RAC0282,ACME.com,Randall.A.Campbell@ACME.com,Foreman
Ali K Short,AKS0283,ACME.com,Ali.K.Short@ACME.com,Security
Adria T Jacobs,ATJ0284,ACME.com,Adria.T.Jacobs@ACME.com,Tradesman
Kessie T Chambers,KTC0285,ACME.com,Kessie.T.Chambers@ACME.com,Technician
Ria J Potter,RJP0286,ACME.com,Ria.J.Potter@ACME.com,Engineer
Elmo B Summers,EBS0287,ACME.com,Elmo.B.Summers@ACME.com,Administrative Staff
Leilani G Vaughn,LGV0288,ACME.com,Leilani.G.Vaughn@ACME.com,Technician
Maite M Fuentes,MMF0289,ACME.com,Maite.M.Fuentes@ACME.com,Of Council
Mercedes A Gross,MAG0290,ACME.com,Mercedes.A.Gross@ACME.com,Engineer
Otto A Rosales,OAR0291,ACME.com,Otto.A.Rosales@ACME.com,Technician
Quinn G Farmer,QGF0292,ACME.com,Quinn.G.Farmer@ACME.com,Tradesman
Ezra N Beasley,ENB0293,ACME.com,Ezra.N.Beasley@ACME.com,Technician
Evelyn G Graves,EGG0294,ACME.com,Evelyn.G.Graves@ACME.com,Technician
Frances T Branch,FTB0295,ACME.com,Frances.T.Branch@ACME.com,Administrative Staff
Cara K Rutledge,CKR0296,ACME.com,Cara.K.Rutledge@ACME.com,Engineer
Clinton S Cash,CSC0297,ACME.com,Clinton.S.Cash@ACME.com,Senior Manger
Tamekah U Anderson,TUA0298,ACME.com,Tamekah.U.Anderson@ACME.com,Tradesman
Kane P Strong,KPS0299,ACME.com,Kane.P.Strong@ACME.com,Technician
Celeste D Sexton,CDS0300,ACME.com,Celeste.D.Sexton@ACME.com,Technician
Jonah L Lancaster,JLL0301,ACME.com,Jonah.L.Lancaster@ACME.com,Engineer
Aurora J Morris,AJM0302,ACME.com,Aurora.J.Morris@ACME.com,Administrative Staff
Barry C Goff,BCG0303,ACME.com,Barry.C.Goff@ACME.com,Foreman
Sandra A Powell,SAP0304,ACME.com,Sandra.A.Powell@ACME.com,Technician
Chancellor W Gilliam,CWG0305,ACME.com,Chancellor.W.Gilliam@ACME.com,Foreman
Nevada E Thompson,NET0306,ACME.com,Nevada.E.Thompson@ACME.com,Loading Dock
Dana C Fleming,DCF0307,ACME.com,Dana.C.Fleming@ACME.com,Administrative Staff
Steven F Snow,SFS0308,ACME.com,Steven.F.Snow@ACME.com,Administrative Staff
Victoria M Moreno,VMM0309,ACME.com,Victoria.M.Moreno@ACME.com,Technician
Isaiah G Barron,IGB0310,ACME.com,Isaiah.G.Barron@ACME.com,Engineer
Brianna J Michael,BJM0311,ACME.com,Brianna.J.Michael@ACME.com,Engineer
David R Maxwell,DRM0312,ACME.com,David.R.Maxwell@ACME.com,Administrative Assistant
